path,ext,bytes,sha256_16,brand_class,proposed_action
gui/public/logos/replicate.png,.png,14066,6abc365196b3b424,generic_ui,Keep unless Continue chrome
gui/public/logos/sambanova.png,.png,12593,55e92e10dc292970,generic_ui,Keep unless Continue chrome
gui/public/logos/scaleway.png,.png,3045,559083fc35aaa76e,generic_ui,Keep unless Continue chrome
gui/public/logos/siliconflow.png,.png,29089,94ab84bb25e24809,generic_ui,Keep unless Continue chrome
gui/public/logos/together.png,.png,28417,eaee3f5b9423545f,generic_ui,Keep unless Continue chrome
gui/public/logos/venice.png,.png,43168,29c754d9e1de708a,generic_ui,Keep unless Continue chrome
gui/public/logos/vertexai.png,.png,58975,ee15f45e5c39c9a7,generic_ui,Keep unless Continue chrome
gui/public/logos/wizardlm.png,.png,494793,6ba577db3f646443,generic_ui,Keep unless Continue chrome
gui/public/logos/xAI.png,.png,28436,f8f5d0a357016e6d,generic_ui,Keep unless Continue chrome
gui/public/logos/zai.svg,.svg,11037,07a45e8e35b0b631,generic_ui,Keep unless Continue chrome
media/github-readme.png,.png,2106724,2656643b093083fb,arclength_ok,Keep
media/readme.png,.png,215373,280c3ccbcf1ddffd,arclength_ok,Keep
media/run-continue-intellij.png,.png,11535,21c10f1617e770f8,continue_branded,Replace or regenerate
