./core/nextEdit/NextEditPrefetchQueue.ts	text	JavaScript source, ASCII text	152
./core/nextEdit/providers/MercuryCoderNextEditProvider.ts	text	JavaScript source, ASCII text	146
./core/nextEdit/providers/InstinctNextEditProvider.ts	text	JavaScript source, ASCII text	155
./core/nextEdit/providers/BaseNextEditProvider.ts	text	JavaScript source, ASCII text	470
./core/nextEdit/templating/mercuryCoderNextEdit.ts	text	JavaScript source, ASCII text	77
./core/nextEdit/templating/mercuryCoderNextEdit.vitest.ts	text	JavaScript source, ASCII text	126
./core/nextEdit/templating/instinct.ts	text	JavaScript source, ASCII text	129
./core/nextEdit/templating/utils.vitest.ts	text	JavaScript source, ASCII text	134
./core/nextEdit/templating/utils.ts	text	JavaScript source, ASCII text	63
./core/nextEdit/templating/NextEditPromptEngine.vitest.ts	text	JavaScript source, ASCII text	115
./core/nextEdit/templating/instinct.vitest.ts	text	JavaScript source, ASCII text	483
./core/nextEdit/templating/NextEditPromptEngine.ts	text	JavaScript source, ASCII text, with very long lines (389)	47
./core/nextEdit/NextEditProviderFactory.ts	text	JavaScript source, ASCII text	16
./core/codeRenderer/CodeRenderer.ts	text	JavaScript source, ASCII text	445
./core/package-lock.json	text	JSON text data	19765
./core/promptFiles/parsePromptFile.ts	text	JavaScript source, ASCII text	24
./core/promptFiles/initPrompt.ts	text	JavaScript source, ASCII text	86
./core/promptFiles/getPromptFiles.ts	text	JavaScript source, ASCII text	83
./core/promptFiles/index.ts	text	JavaScript source, ASCII text	24
./core/promptFiles/createNewPromptFile.ts	text	JavaScript source, ASCII text	76
./core/tsconfig.json	text	ASCII text	32
./core/rules.md	text	ASCII text	10
./core/data/log.ts	text	JavaScript source, ASCII text	238
./core/data/devdataSqlite.ts	text	JavaScript source, ASCII text	92
./core/data/log.vitest.ts	text	JavaScript source, ASCII text	231
./core/.vscode/launch.json	text	ASCII text	29
./core/package.json	text	JSON text data	135
./core/protocol/messenger/messageIde.ts	text	JavaScript source, ASCII text	230
./core/protocol/messenger/reverseMessageIde.ts	text	JavaScript source, ASCII text	172
./core/protocol/messenger/index.ts	text	JavaScript source, ASCII text	185
./core/protocol/ideWebview.ts	text	JavaScript source, ASCII text	85
./core/protocol/coreWebview.ts	text	JavaScript source, ASCII text	7
./core/protocol/webview.ts	text	JavaScript source, ASCII text	44
./core/protocol/util.ts	text	JavaScript source, ASCII text	53
./core/protocol/core.ts	text	JavaScript source, ASCII text	348
./core/protocol/ide.ts	text	ASCII text	95
./core/protocol/index.ts	text	JavaScript source, ASCII text	32
./core/protocol/passThrough.ts	text	JavaScript source, ASCII text	109
./core/protocol/ideCore.ts	text	JavaScript source, ASCII text	5
./core/llm/llamaTokenizer.js	text	JavaScript source, Unicode text, UTF-8 text, with very long lines (44042)	521
./core/llm/llms/LlamaCpp.ts	text	JavaScript source, ASCII text	58
./core/llm/llms/Test.ts	text	JavaScript source, ASCII text	53
./core/llm/llms/Deepseek.ts	text	JavaScript source, ASCII text	60
./core/llm/llms/xAI.ts	text	JavaScript source, ASCII text	16
./core/llm/llms/Mimo.ts	text	JavaScript source, ASCII text	13
